EIN,NAME,STATE,NTEE_GROUP,NTEE_CD,WEBSITE
82-0565754,REED GASTROINTESTIONAL ONCOLOGY RESEARCH FOUNDATION,AL,H,H12,reedgifoundation.com
46-2806791,THE P T A OF P S 133K INC,NY,B,B94,www.ps133brooklyn.org
27-1170742,TISSUE ENGINEERING AND REGENERATIVE MEDICINE INTL SOCIETY OF N AMERIC,CA,H,H99,www.termis.org
23-7017819,GLASGOW HIGH SCHOOL EDUCATIONAL TRUST,MT,B,B25,www.ghsedutrust.org
94-3470863,JHS CHEER,MN,B,B94,jeffersoncheer.org
58-2019831,AMERICAN OSTEOPATHIC COLLEGE OF PREVENTIVE MEDICINE INC,TN,F,F99Z,www.aocopm.org
54-1671884,KEY BRIDGE FOUNDATION FOR EDUCATION AND RESEARCH,DC,F,F20Z,www.keybridge.org
74-2655302,THE HOPE FOUNDATION,MI,G,G99Z,www.thehopefoundation.org
38-2453316,GREAT LAKES RECOVERY CENTERS INC,MI,F,F200,www.greatlakesrecovery.org
47-1556373,HEART FOR ATHLETES CHARITABLE TRUST,AL,H,H43,www.heartforathletes.org
26-4040421,HOPESPRINGS INC,MD,G,G81,www.hopesprings.org
37-0982494,INSTITUTE FOR HUMAN RESOURCES OF LIVINGSTON COUNTY ILLINOIS,IL,F,F30Z,www.ihrpontiac.com
83-1413195,UNIVERSITY NETWORK FOR INTERNAT TRAINING ANDUNIVERSITY NETWORK FOR,CT,R,R99,humanrightsnetwork.org
20-1730694,DIE RASSELBANDE PRESCHOOL INC,CA,B,B21,www.dierasselbande.com
72-1298700,LOUISIANA ALPHA CHAPTER OF PHI KAPPA PSI FRATERNITY INC,MS,B,B83,www.lsuphikappapsi.com
54-1810687,VIRGINIA COALITION FOR OPEN GOVMNT INC,VA,R,R600,www.opengovva.org
56-2183294,RHO OF THETA TAU HOUSING CORPORATION,NC,B,B83,rhohousing.org
23-7311208,NATIONAL CENTER FOR LAW AND ECONOMIC JUSTICE INC,NY,I,I83Z,www.nclej.org
82-5220699,EVERGROW LEARNING CENTER INC,WI,B,B21,evergrowlearningcenter.com
52-1612762,STONE MOUNTAIN-LITHONIA ALUMNI CHAPTER OF KAPPA ALPHA PSI,GA,B,B83,www.smnupes.org
90-0291866,HILLTOP RECOVERY SERVICES,CA,F,F22,www.hilltoprecovery.net
01-0771966,FIBROMUSCULAR DYSPLASIA SOCIETY OF AMERICA INC,OH,H,H90,www.fmdsa.org
34-4478838,ILLINOIS VACCINE AWARENESS COALITION,IL,H,H019,illinoisvaccineawareness.org
46-1049357,A PROMISE OF HOPE INC,PA,P,P45,www.apromiseofhope.org
82-2574975,STARRS FUND,CA,G,G12,starrsfund.org
47-2642163,MIDDLE TENNESSEE FIRE SOCCER TEAM,TN,B,B25,www.mtfiresoccer.com
20-2014968,CHARLEYS FUND INC,MA,H,H50,www.charleysfund.org
35-1999551,INDIANA COUNCIL ON PROBLEM GAMBLING INC,IN,F,F54,www.indianaproblemgambling.org
23-7256802,LAUREL HILL CENTER,OR,F,F33Z,www.laurel.org
26-4071617,SOLID FOUNDATION COMMUNITY DEVELOPMENT CORPORATION,MS,I,I21,www.sfcdc.org
55-0520303,FMRS HEALTH SYSTEMS INC,WV,F,F80Z,www.fmrs.org
32-0254765,GRACE HAVEN MINISTRIES,OH,I,I31,gracehavenministries.net
46-0232306,SOUTHEASTERN BEHAVIORAL HEALTHCARE,SD,F,F300,www.southeasternbh.org
26-1321646,CHRISTINA SEIX ACADEMY A NEW JERSEY NONPROFIT CORPORATION,NJ,B,B24,www.christinaseixacademy.org
05-0557231,CENTER ON RACE POVERTY & ENVIRONMENT,CA,I,I83,www.crpe-ej.org
46-5422590,RESTORATION OF THE HEART MINISTRY,WA,F,F60,restorationoftheheart.org
52-1241126,NATIONAL RIGHT TO LIFE COMMITTEE EDUCATIONAL TRUST FUND,VA,R,R62Z,www.nrlc.org
35-1897568,MUNCIE ALLIANCE FOR THE PREVENTION OF SUBSTANCE ABUSE INC,IN,F,F21,www.redeemlives.org
45-5420874,CHESTNUTWOLD SCHOOL PARENT-TEACHER ORGANIZATION,PA,B,B94,www.chestnutwoldpto.org
33-0725073,KIT CARSON PARENT ORGANIZATION,CA,B,B94,carson.sandiegounified.org
82-5229656,UPCOUNTY PREVENTION NETWORK INC,MD,F,F01,upcountypreventionnetwork.org
65-0813823,ACCESS NOW INC,FL,I,I83,adaaccessnow.org
46-3810231,THE WISDOM CENTER FOR AUTISM,HI,G,G84,wisdomcenterforautism.org
56-2081468,MIKE CHADWICK MINISTRIES INC,NC,F,F21,www.michaeldeanchadwick.org
46-3652341,HEAR MY CRY FOUNDATION,TX,F,F40,www.hearmycryfoundation.org
27-0170494,SUE DINAPOLI OVARIAN CANCER FOUNDATION,CO,G,G30,beovaryaware.org
47-3610518,KASEM CARES INC,CA,R,R11,www.kasemcares.org
82-2743807,NO BABY BLISTERS,CO,G,G80,www.nobabyblisters.org
23-7091329,CAMELOT OF STATEN ISLAND INC,NY,F,F22Z,camelotcounseling.com
26-1708037,HENRY SCHUELER 41 & 9 FOUNDATION,IL,G,G12,www.henryschueler.org
81-5294830,AMERICAN OVERSIGHT INC,DC,R,R05,www.americanoversight.org
22-2625105,HUMAN LIFE SERVICES INC,PA,R,R62Z,www.humanlifeservices.org
46-1275370,HIGHER GROUND RECOVERY CENTER,MO,F,F22,www.higherground417.org
48-1223461,ARTHRITIS RESEARCH CENTER FOUNDATION INC,KS,H,H51,www.forwarddatabank.org
95-4545540,CHILD DEVELOPMENT INSTITUTE,CA,F,F60,www.cdikids.org
61-0659633,WESTERN KENTUCKY REGIONAL MENTAL HEALTH AND MENTAL RETARDATION ADV,KY,F,F30Z,www.4rbh.org
46-0308930,DAKOTA COUNSELING INSTITUTE INC,SD,F,F30Z,www.dakotacounseling.com
23-2171417,MARWORTH,PA,F,F22Z,www.geisinger.org
47-2465564,STAMFORD CHARTER SCHOOL FOR EXCELLENCE INC,CT,B,B24,www.stamfordexcellence.org
32-0121356,E 3 FAMILY SOLUTIONS INC,FL,I,I20,www.e3familysolutions.org
68-0113953,SEQUOIA PARENTS ASSOCIATION,CA,B,B94,sequoiaparentsassociation.com
81-4274435,GUTLESS AND GLAMOROUS,GA,G,G01,gutlessandglamorous.org
36-3604463,CANCER WELLNESS CENTER,IL,G,G30Z,www.cancerwellness.org
81-3700696,SEIZINGPSYCH INC,MD,F,F30,www.seizingpsych.com
13-3880402,FRIENDS WITHOUT A BORDER,NY,B,B28,www.fwab.org
39-1077192,LEGAL ACTION OF WISCONSIN INC,WI,I,I80,www.legalaction.org
46-2624840,RIVERWALK ACADEMY INC,SC,B,B28,www.riverwalkacademy.com
47-4746935,ALS NEVERSURRENDER FOUNDATION,CO,H,H96,alsneversurrender.org
83-1162216,THE@SHIELD,OR,F,F30,shieldcentraloregon.org
52-1226817,PATHWAYS INC,MD,F,F300,www.pathwaysinc.org
77-0553466,LAFAYETTE HOMELESS AND COMMUNITY SERVICES INC,CA,F,F21,www.lovehealsfamilies.org
84-2299583,NEUTRAL GROUND COLLECTIVE INC,LA,F,F60,www.tngcollective.com
86-0782478,ARIZONA INTERGROUP OF OVEREATERS ANONYMOUS,AZ,F,F53P,www.oaphoenix.org
43-1700482,THE IMMIGRATION PROJECT INC,IL,I,I800,www.immigrationproject.org
27-4350551,FAIRDISTRICTS NOW INC,FL,R,R60,www.fairdistrictsnow.org
80-0834004,STEP UP FOR MENTAL HEALTH,IL,F,F01,www.stepupformentalhealth.org
27-2795012,COASTAL COALITION FOR SUBSTANCE ABUSE PREVENTION CCSAP,NC,F,F20,www.ccsap.org
86-0775966,ARA PARSEGHIAN MEDICAL RESEARCH FOUNDATION,AZ,H,H99,www.parseghian.org
82-1199380,GLOBAL COALITION FOR ADAPTIVE RESEARCH INC,CA,H,H48,gcaresearch.org
47-3594688,END MODERN SLAVERY INITIATIVE FOUNDATION,VA,I,I70,www.gfems.org
42-1605812,TOMORROWS RAINBOW INC,FL,F,F30,www.tomorrowsrainbow.org
47-1117669,CHRIS LANTOS FOUNDATION,VA,G,G99,www.chrislantosfoundation.org
81-3002580,MOVEMENT PROJECT INC,OR,G,G30,themovement.dance
82-3347229,SAVE THE MOMMIES INC,NE,R,R12,www.savethemommies.com
34-1018501,NORTHERN OHIO HEMOPHILIA FOUNDATION INC,OH,H,H12,www.nohf.org
83-2135636,DOWELL FAMILY AND SCHOOL TEAM INC,MD,B,B94,dowell-elementary-fast.square.site
05-0512037,THE AUTISM PROJECT,RI,G,G84,www.theautismproject.org
23-1893794,HALCYON ACTIVITY CENTER,PA,F,F34Z,halcyonpsr.org
30-0121559,INTERNATIONAL REACH AND TEACH INSTITUTE,CA,F,F20,www.reachandteachonline.org
46-2541084,COMMUNITY ADVOCACY COALITION,AZ,R,R20,www.the-cac.org
93-1311119,OREGON COUNCIL OF CHILD AND ADOLESCENT PSYCHIATRY,OR,F,F03,www.occap.org
20-0625615,WILSON AND CAROL TRUEBLOOD PERFORMING ARTS CENTER INC,WI,I,I196,truebloodpac.com
27-1049666,HX CHINESE SCHOOL AT PLAINSBORO,NJ,B,B25,www.hxpcs.org
91-1139778,OLYMPIC HILLS PTA 6N 15 275,WA,B,B94,olympichillspta.org
45-2735282,DRAGONFLY HOUSE CHILDRENS ADVOCACY CENTER,NC,F,F60,www.thedragonflyhouse.com
41-1989926,COON RAPIDS HIGH SCHOOL MARCHING BOOSTER,MN,B,B94,coonrapidsband.org
26-2106739,PLAYING FOR LIFE,UT,G,G30,www.theplayingforlifefoundation.org
77-0675357,COMPANIONS ON A JOURNEY GRIEF SUPPORT INC,OH,F,F60,www.companionsonajourney.org
47-4359360,AIM NOW,WI,B,B21,www.aimnoweducation.org
80-0121263,QUILT FOR A CAUSE INC,AZ,G,G12,www.quiltforacause.org
38-2730190,BIG RAPIDS HIGH SCHOOL HOCKEY BOOSTERS INC,MI,B,B94,www.brps.k12.mi.us
45-5510035,PHILASOUP INC,PA,B,B94,www.philasoup.org
20-3591894,ADOLESCENT WELLNESS,MA,F,F19,www.adolescentwellness.org
84-1737097,AKILAH DASILVA FOUNDATION,TN,I,I20,www.natrixdream.life
84-3741778,OUT IN FINANCE,IL,R,R26,outinfinance.org
20-4342830,KANKAKEE COUNTY RENEWED OPPORTUNITYINC,IL,I,I40,kankakeereentry.wixsite.com
31-0918872,DAYTON RIGHT TO LIFE FOUNDATION,OH,R,R620,www.daytonlife.org
36-4945081,CHANCES ARE INC,NY,F,F54,www.chancesare.life
04-3342213,AREA RESOURCE FOR INDIVIDUALIZED SERVICES INC,VT,F,F60Z,www.arissolutions.org
47-3149178,VILLAGE MONTESSORI PACT INC,IN,B,B21,www.indyvillagemontessori.com
26-0566457,FREEDOMS PROMISE INC,TN,F,F42,www.freedomspromise.org
56-2533763,RONALD WILSON REAGAN ACADEMY,UT,B,B21,www.reaganacademy.org
61-1740705,HUMANITY CENTER4CHANGE,CA,F,F30,www.humanitycenter4change.org
20-2068323,AGAPE HOUSE,AR,I,I31,www.agapehouse.me
45-3851008,ROCKHILL ORTHOPAEDIC SPECIALISTS INC,MO,G,G98,www.saintlukeskc.org
35-1620863,AMERICAN SOCIETY FOR RECONSTRUCTIVE MICROSURGERY,IL,H,H5XC,www.microsurg.org
84-4363789,SHAVON MARIAH SOCIAL SERVICES LUGGAGE FOUNDATION,TX,F,F01,www.shavonmariahsocialservices.com
54-2044649,FLICKER OF HOPE FOUNDATION,VA,F,F60,www.flickerofhope.org
61-1742674,PROVIDENCE HIGH SCHOOL INC,TX,B,B25,providenceprepbellville.com
26-3590691,HEART OF TEXAS AUTISM NETWORK INC,TX,G,G018,www.hotan254.org
05-0312278,COMMUNITY CARE ALLIANCE,RI,F,F320,www.communitycareri.org
46-1470709,COLECTIVA LEGAL DEL PUEBLO,WA,R,R20,www.colectivalegal.org
82-1592036,LEGAL DEFENSE OF OTHERS FOUNDATION,CA,I,I80,www.legaldefenseofothers.org
32-0289909,HERO S JOURNEY FOUNDATION,PA,F,F60,www.herosjourneyfoundation.org
84-1304443,THE URBAN FARM,CO,I,I21,www.theurbanfarm.org
06-0860926,THE SOUTHEASTERN COUNCIL ON ALCOHOLISM AND DRUG DEPENDENCE INC,CT,F,F22Z,www.scadd.org
27-1059850,JOVIAL CONCEPTS,CO,I,I51,www.jovialconcepts.org
84-4843704,PARKINSONS WELLNESS PLACE,WA,G,G80,parkinsonswellnessplace.org
26-2704188,KENTUCKY PINK CONNECTION,KY,G,G32,www.kycancerlink.org
35-0811197,FAIRBANKS HOSPITAL INC,IN,F,F220,www.fairbankscd.org
80-0484819,CITY OF FAITH CHRISTIAN SCHOOL,NY,B,B24,www.cityoffaithchristianschool.org
38-1963640,SICKLE CELL DISEASE ASSOCIATION OF AMERICA MICHIGAN CHAPTER INC,MI,G,G22Z,www.scdaami.org
27-3182187,ELISID FREEDOM FOUNDATION,CA,I,I40,www.elisidfreedomfoundation.org
83-2711040,WE LIVE ON INC,NC,F,F01,www.weliveonnow.org
41-0983461,WALK-IN COUNSELING CENTER INC,MN,F,F40Z,walkin.org
81-3348814,SENSORY PROCESSING ALLIANCE INC,NY,G,G48,www.sensoryprocessingalliance.org
82-1670584,MENTES ACTIVAS,UT,F,F70,maalzes.org
47-3968535,MOVEMENT ADVANCEMENT PROJECT INC,CO,R,R26,www.lgbtmap.org
36-2762168,SAFER FOUNDATION,IL,I,I400,www.saferfoundation.org
43-1592399,COURT APPOINTED SPECIAL ADVOCATES OF SOUTHEAST MISSOURI INC,MO,R,R200,www.voicesforchildrensemo.org
20-0269367,STATEN ISLAND HEART SOCIETY INC,NY,H,H43,www.siheart.org
26-1456440,BRIGHTER DAYZ INC,NJ,F,F80,www.brighterdayzinc.org
56-2633532,BAY AREA ADVISORS INC,FL,H,H11,bayareaadvisors.com
45-2581576,CHRISTIAN SUICIDE PREVENTION,IL,F,F40,www.christiansuicideprevention.com
20-5125079,TRUTH WINS OUT INC,FL,R,R26,www.truthwinsout.org
82-5244135,HINGHAM CARES INC,MA,F,F21,www.hinghamcares.org
83-2193218,DHANA YOGA FOUNDATION INC,MA,H,H12,www.dhanayogafoundation.org
74-2998219,RESPITE CARE OF S A INC FOUNDAITON,TX,G,G11,respitecaresa.org
81-0538434,SUMMIT RANCH INC,MT,B,B28,summitprepschool.org
27-0165258,TREVOR LOUGHLIN FOUNDATION INC,NY,G,G12,www.rockhillrun.com
26-1997681,TREE HOUSE HAVEN,FL,I,I70,www.dvacenter.org
84-2458423,QS ARMY CORP,FL,F,F60,www.qsarmy.com
55-0802098,NATIONAL CRIMINAL ENFORCEMENT ASSOCIATION CORP,GA,I,I20,www.ncea314.com
14-1873843,WOODLAWN COMMUNITY ACADEMY INC,FL,B,B25,www.woodlawnacademy.org
83-1700409,KRISTINS FUND INC,NY,I,I70,kristinsfund.com
47-2587734,BIRCH SCHOOL INC,NY,B,B24,www.thebirchschool.org
81-0900536,COLORADO DOULA PROJECT,CO,E,E40,www.coloradodoulaproject.org
81-3819245,NF NORTH CENTRAL,MN,G,G20,hotmail.com
84-0520493,MENTAL HEALTH CENTER OF BOULDER COUNTY INC,CO,F,F300,www.mhpcolorado.org
27-0810907,HAMPTON ROADS TEA PARTY INC,VA,R,R01,www.vbtp.org
36-4229548,NORTH LAWNDALE COLLEGE PREPARATORY CHARTER HIGH SCHOOL,IL,B,B25,www.nlcphs.org
31-1736924,COALITION FOR HIV AWARENESS AND PREVENTION OF CENTRAL VIRGINIA,VA,G,G81,www.chapcva.org
82-4362581,GASTONIA FREEDOM SCHOOL,NC,B,B24,gastoniafreedom.org
84-2940815,IRVINGTON COUNSELING COLLECTIVE INC,IN,F,F32,irvingtoncounseling.org
68-0413959,GEORGIANA BRUCE KIRBY PREPARATORY SCHOOL,CA,B,B25,www.kirby.org
81-1981329,AMPS FOR KIDS INC,CA,F,F60,ampsforkids.com
84-1122414,NORTH AMERICAN SKULL BASE SOCIETY,CA,H,H99Z,www.nasbs.org
20-4592889,PS 11 PARENT TEACHER ASSOCIATION INC,NY,B,B94,ps11brooklyn.org
04-3580876,BOSTON TRINITY ACADEMY INC,MA,B,B25,www.bostontrinity.org
20-0788352,82ND STREET ACADEMICS,NY,B,B21,www.82ndst.com
39-1438843,ROCK VALLEY COMMUNITY PROGRAMS INC,WI,I,I30Z,www.rvcp.org
81-4391644,CASTLE ROCK CLUBHOUSE CO,CO,F,F22,castlerockclubhouse.org
76-0756331,TRAUMA MANAGERS ASSOCIATION OF CALIFORNIA,CA,G,G02,www.traumamanagersca.org
27-3073630,JOHNNY SILENO WISHES FOR WELLNESS,NY,G,G30,cbo.io
52-2322462,THE ARVO FOUNDATION FOR EYE RESEARCH INC,MD,H,H11,www.arvofoundation.org
68-0421733,GRIFFIN TECHNOLOGY ACADEMIES,CA,B,B24,www.mitacademy.org
47-4884260,DIVIDED FAMILIES USA,IL,R,R99,dividedfamiliesusa.org
13-1962771,AMERICAN PARKINSON DISEASE ASSOC,NY,G,G50Z,www.apdaparkinson.org
41-1703237,BEHAVIORAL INSTITUTE FOR CHILDREN AND ADOLESCENTS,MN,F,F20Z,www.behavioralinstitute.org
27-1148961,ELLIE REYNOLDS ALS FOUNDATION INC,PA,G,G12,www.livingwithals.org
84-4569558,MOUNTAIN TOP CARES COALITION INC,NY,F,F21,www.mountaintopcarescoalition.com
92-0152268,TRAGEDY ASSISTANCE PROGRAM FOR SURVIVORS,VA,F,F600,www.taps.org
95-3392219,CASA COLINA CENTERS FOR REHABILITATION INC,CA,G,G480,www.casacolina.org
95-3655256,CASA COLINA INC,CA,F,F020,www.casacolina.org
27-4199528,LIFE AFTER INC,GA,I,I40,lifeafterinc.org
46-0826984,LEGAL CENTER FOR NONPROFITS INC,MA,I,I80,www.legalcenterfornonprofits.org
81-0877796,ROCK STEADY BOXING OF BROWNSBURG INC,IN,H,H20,www.brownsburg.rsbaffiliate.com
82-1615320,HUNGARIAN PARENT TEACHER ASSOCIATION OF NEW YORK INCORPORAT,NY,B,B94,hungarianschoolnyc.com
42-1463736,ORCHARD PLACE,IA,F,F80,www.orchardplace.org
04-3457848,NORTHWESTERN CHILDRENS ADVOCACY PROJECT INC,MA,I,I72,cachampshire.org
27-3352652,AMERICA INC,VA,R,R63,www.foramerica.org
94-2544347,AMERICAN ACADEMY OF OROFACIAL PAIN,NJ,G,G9XZ,www.aaop.org
46-1936672,PENINSULA SPECIAL INTEREST LIONS CHARITIES FOUNDATION INC,CA,G,G03,www.psilionsclub.com
43-1890891,CENTER FOR CONFLICT RESOLUTION,MO,F,F60,www.ccrkc.org
26-2822224,MOSES MAX MINDKNIT RESEARCH CENTER,MD,H,H48,www.mindknit.org
65-0416691,PEOPLE ENGAGED IN ACTIVE COMMUNITY EFFORTS INC,FL,R,R20Z,www.peacepbc.org
72-1476680,LOUISIANA HEALTH AND REHAB CENTER INC,LA,F,F20,www.lahealthandrehab.org
84-2678763,TOGETHERWELL INC,CA,F,F80,www.togetherwell.org
20-0922952,DEVELOPMENTAL OPPORTUNITIES FOUNDATION,CO,F,F11,www.starpointco.com
02-0517433,FARMSTEADS OF NEW ENGLAND INC,NH,F,F33,www.farmsteads-ne.org
47-3668886,VETERAN BARN DOOR PROJECT INC,FL,F,F60,www.veteranbarndoor.com
58-1995072,KIDS INTER-DISCIPLINARY SERVICES INC,NC,F,F99Z,kidsplacecac.org
26-1905452,THE MARANYUNDO INITIATIVE INC,MA,B,B25,www.maranyundo.org
95-4094844,SO CALIF REGIONAL SERVICE OFFICE OF NARCOTICS ANONYMOUS,CA,F,F50,www.todayna.org
81-4260130,INSTITUTE FOR MENTAL HEALTH & WELLNESS,WA,F,F30,www.wellbeingtrust.org
03-0555281,OPTIMUM HEALTH SOLUTION INC,NY,G,G99,www.optimumhealthsolution.org
42-1763765,BROADUS WOOD ELEMENTARY SCHOOL PARENT AND TEACHER ORGANIZATION,VA,B,B94,www.bwespto.org
64-0894842,MY FATHERS HOUSE OF FREEDOM INC,MS,F,F300,myfathershousems.org
20-5776861,CHOLANGIOCARCINOMA FOUNDATION,UT,H,H99,www.cholangiocarcinoma.org
72-0517802,CANCER ASSOCIATION OF GREATER NEW ORLEANS INC,LA,G,G30Z,www.cagno.org
23-7059021,WESTERN PSYCHOLOGICAL ASSOCIATION INC,CA,F,F19,westernpsych.org
91-1992971,HEART STRONG INC,WA,R,R26,www.heartstrong.org
92-0022770,PRESBYTERIAN HOSPITALITY HOUSE INC,AK,F,F33Z,www.phhalaska.org
47-3821684,INTERNATIONAL CANCER CARE & RESEARCH EXCELLENCE FOUNDATION INC,NC,H,H30,i-ccare.org
23-7135845,FOUNDATION FIGHTING BLINDNESS INC,MD,H,H410,www.fightingblindness.org
04-6040048,GROUP FOR THE ADVANCEMENT OF PSYCHIATRY INC,TX,G,G9XZ,www.ourgap.org
27-2973398,HOUSE OF REFUGE MINISTRIES,WY,F,F20,www.myhouseofrefugeministries.com
82-3364816,BE THE LIGHT MENTAL HEALTH MINISTRY,TX,F,F80,www.bethelightmhm.org
42-1323808,HOUSE OF MERCY,IA,F,F220,www.mercyone.org
22-3665378,SIGMA PSI ZETA SORORITY INC,NY,B,B83,www.sigmapsizeta.org
81-3071750,ASSOCIATION OF CAMEROON PHYSICIANS IN THE AMERICAS,NC,G,G03,www.acpa-cmr.org
95-1878858,COUNCIL ON ALCOHOLISM & DRUG ABUSE,CA,F,F22Z,www.cadasb.org
80-0440898,A RENAISSANCE SCHOOL OF ARTS AND SCIENCES,OR,B,B24,www.renaissanceschoolportland.org
85-0477162,OSTEOPOROSIS FOUNDATION OF NEW MEXICO,NM,G,G50,www.ofnm.org
41-2088296,IOWA CHRONIC CARE CONSORTIUM,IA,G,G038,www.iowaccc.com
30-0606197,LIFE PROGRESSIVE SERVICES GROUP INC,NY,I,I40,lifeprogressiveservices.org
72-6027674,BRIDGE HOUSE CORPORATION,LA,F,F34Z,www.bridgehouse.org
93-0855920,JASPER MOUNTAIN,OR,I,I72Z,jaspermountain.org
82-2960621,COLOR OF LAW CENTER - FOUNDATION,DC,R,R23,coloroflawcenter.org
26-4275807,HAVEN OF HOPE OF DEKALB COUNTY INC,TN,F,F32,www.havenofhopetn.org
95-2157559,PATHFINDERS OF SAN DIEGO,CA,G,G82Z,pathfindersrecovery.org
20-8448707,MINDING YOUR MIND,PA,F,F99,www.mindingyourmind.org
46-2464012,FIGHTING PRETTY INC,OR,G,G19,www.fightingpretty.org
45-3731681,VOLUNTEER LEADERSHIP,MO,F,F60,www.cancer-companions.org
81-0961679,CENTER TO ADVANCE JUSTICE INC,FL,I,I05,www.flcaj.org
59-1677912,OSCEOLA MENTAL HEALTH INC,FL,F,F32Z,www.ppbh.org
47-1506961,SELAHS RIVER INTERNATIONAL INC,CA,R,R12,www.selahsriver.org
83-4227448,612 CALLING INC,NV,R,R62,612calling.org
86-0003895,ARIZONA ELKS MAJOR PROJECTS INC,AZ,H,H99Z,www.azelksmp.com
85-1109576,CURE SZT2,CA,H,H80,www.szt2.org
45-3119430,MINAS VS CANCER,CA,H,H30,minasvscancer.org
81-4005704,PA ARRIBA FOUNDATION,MD,I,I70,www.paarriba.org
81-2978237,LIFE AFTER CONVICTION,VA,I,I40,www.lifeafterconvictions.org
36-4624270,THE CHILDRENS PROJECT,CA,F,F990,www.emotionallyhealthychildren.org
75-2923026,SIDS AND KIDS OF TEXOMAINC,TX,F,F60,sidsandkidsoftexoma.org
80-0778373,LASHAWNTAY T HOWARD YOUTH OFFENDER CENTER,FL,I,I40,www.lthyoc.org
20-0200460,INTERNATIONAL ORGANIZATION FOR WOMEN AND DEVELOPMENT INC,NY,G,G19,www.iowd.org
26-1640517,TRADITIONS TRANSITIONAL LIVING INC,AZ,F,F33,traditionsrecovery.com
36-3463118,RIGHT TO LIFE OF MCHENRY COUNTY EDUCATION FUND,IL,R,R016,righttolife-mc.org
36-3440436,RIGHT TO LIFE OF MCHENRY COUNTY,IL,R,R620,righttolife-mc.org
82-0902839,TOTALLY HEALED NETWORK INTERNATINAL INC,GA,F,F01,www.totallyhealednetwork.org
84-2728829,FIRST CAPITAL PRIDE COALITION,OH,R,R26,firstcapitalpride.org
27-3334500,PAN LONG ISLAND CHALLENGE INC,NY,H,H114,www.lichallenge.org
45-4551630,BELLA BOWMAN FOUNDATION INC,LA,H,H12,www.bellabowman.org
81-0746807,NAMI NORTHEAST IOWA,IA,F,F01,namineiowa.org
22-2764367,TRANSITIONAL LIVING CENTERS INC,PA,I,I31Z,www.tlcwilliamsport.org
26-3751511,LIFE GOES ON FOUNDATION INCORPORATED,CA,I,I21,www.lgof.org
48-6127354,KANSAS LIONS SIGHT FOUNDATION INC,KS,G,G41Z,lions4sight.com
33-0670516,NATIONAL CONFLICT RESOLUTION CORPORATION,CA,I,I51,ncrconline.com
45-3568770,AMERICAN COCHLEAR IMPLANT ALLIANCE FOUNDATION,VA,H,H42,www.acialliance.org
46-3615546,COASTAL EMPIRE MONTESSORI CHARTER SCHOOL PARENT TEACHER ORGANIZATION,GA,B,B94,cemco.org
82-4700130,RISE CANYON RANCH,CA,F,F30,www.risecanyonranch.org
83-2037551,HOPE PROJECT,SC,F,F60,www.thehopeproject.cc
75-2727881,SALVAGING TEENS AT RISK INC,TX,B,B25,www.ntxca.org
56-1191115,PISGAH LEGAL SERVICES,NC,I,I80Z,www.pisgahlegal.org
59-3338309,CENTRAL FLORIDA HAVEN OF HOPE MINISTRIES INC,FL,G,G81,cflhavenofhope.com
04-3224394,MULTI-SERVICE EATING DISORDERS ASSOCIATION INC,MA,F,F53,www.medainc.org
26-2043073,ILLINOIS STATE NEUROSURGICAL SOCIETY INC,IL,G,G03,www.ilneuro.org
16-1671503,ACADEMY OF WHOLE LEARNING,MN,B,B24,www.academyofwholelearning.org
81-1162169,STARLITE SHORES FAMILY CAMP,MI,G,G30,starliteshores.org
26-2504871,SPECIAL SPIRIT INC,CA,G,G80,www.specialspirit.org
27-4202015,VILLA VERITAS FOUNDATION INC,NY,F,F22,villaveritas.org
81-0519405,FLATHEAD RESERVATION HUMAN RIGHTS COALITION INC,MT,R,R30Z,frhrc2.wordpress.com
74-2414133,ADVOCATES FOR CHILDREN,CO,R,R200,www.adv4children.org
56-1641379,THE NORTH CAROLINA DARE DRUG ABUSE RESISTANCE EDUCATION,NC,I,I60C,ncdare.org
46-4978300,NORTHEAST ACADEMY FOR AEROSPACE & ADVANCED TECHNOLOGIES,NC,B,B25,www.northeastacademy.org
47-3513297,FOUNDATION FOR FILIPINA WOMENS NETWORK,CA,R,R30,www.filipinawomensnetwork.org
26-3390810,CHEYENNE CENTER INC,TX,F,F22,cheyennecenter.com
47-1901311,DARUL QALB,TN,G,G43,www.darulqalb.org
84-3053331,JACKSONVILLE HEALTH AND EDUCATIONAL RESOURCE CENTER,FL,H,H99,www.jh-erc.org
91-2144943,INTERACTIVE MEDIA INSTITUTE,CA,F,F05,www.interactivemediainstitute.com
27-2296288,AUPTIMISM ORG,CA,G,G84,www.auptimism.org
74-2421188,ORANGE GROVE MIDDLE SCHOOL FAMILY FACULTY ASSOCIATION,AZ,B,B94,orangegroveffo.org
59-2092717,SUNCOAST CENTER INC,FL,F,F32Z,www.suncoastcenter.org
81-2447472,CORE EDUCATION ACADEMY,CA,B,B24,www.coreacademy.net
47-3692057,BE A PART OF HISTORY FOUNDATION,CA,F,F22,www.beapartofhistory.org
46-0884458,SCHOOL FOR COMMUNITY LEARNING INC,IN,B,B24,www.schoolforcommunitylearning.org
31-1020460,LEAGUE OF WOMEN VOTERS OF METROPOLITAN COLUMBUS EDUCATION FU,OH,R,R40Z,www.lwvcols.org
04-3507716,NEIGHBOR TO NEIGHBOR MASSACHUSETTS EDUCATION FUND INC,MA,R,R40,www.n2nma.org
